,Id,river,location,erected,purpose,length,lanes,clear-g,t-or-d,material,span,rel-l,type
0,E1,M,3.0,1818,HIGHWAY,1567.469135802469,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
1,E2,A,25.0,1819,HIGHWAY,1037.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
2,E3,A,39.0,1829,AQUEDUCT,1567.469135802469,1.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
3,E5,A,29.0,1837,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
4,E6,M,23.0,1838,HIGHWAY,1567.469135802469,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
5,E7,A,27.0,1840,HIGHWAY,990.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
6,E8,A,28.0,1844,AQUEDUCT,1000.0,1.0,N,THROUGH,IRON,SHORT,S,SUSPEN
7,E9,M,3.0,1846,HIGHWAY,1500.0,2.0,N,THROUGH,IRON,SHORT,S,SUSPEN
8,E10,A,39.0,1848,AQUEDUCT,1567.469135802469,1.0,N,DECK,WOOD,MEDIUM,S,WOOD
9,E11,A,29.0,1851,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
10,E12,A,39.0,1853,RR,1567.469135802469,2.0,N,DECK,WOOD,MEDIUM,S,WOOD
11,E14,M,6.0,1856,HIGHWAY,1200.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
12,E13,A,33.0,1856,HIGHWAY,1567.469135802469,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
13,E15,A,28.0,1857,RR,1567.469135802469,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
14,E16,A,25.0,1859,HIGHWAY,1030.0,2.0,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
16,E18,A,28.0,1864,RR,1200.0,2.0,N,THROUGH,IRON,SHORT,S,SIMPLE-T
17,E19,A,29.0,1866,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
18,E20,A,32.0,1870,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
21,E22,A,24.0,1876,HIGHWAY,1200.0,4.0,G,THROUGH,WOOD,SHORT,S,WOOD
24,E27,A,39.0,1883,RR,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
25,E26,M,12.0,1883,RR,1150.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
26,E30,A,31.0,1884,RR,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
28,E28,M,3.0,1884,HIGHWAY,1000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
29,E32,A,30.0,1887,HIGHWAY,1567.469135802469,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
30,E31,M,8.0,1887,RR,1161.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
31,E34,O,41.0,1888,RR,4558.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
32,E33,M,19.0,1889,HIGHWAY,1120.0,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
33,E36,O,45.0,1890,HIGHWAY,1567.469135802469,2.0,G,THROUGH,IRON,SHORT,F,SIMPLE-T
34,E35,A,27.0,1890,HIGHWAY,1000.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
35,E38,M,17.0,1891,HIGHWAY,1567.469135802469,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
36,E37,M,18.0,1891,RR,1350.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
37,E39,A,25.0,1892,HIGHWAY,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
38,E4,A,27.0,1892,AQUEDUCT,1092.0,1.0,N,THROUGH,WOOD,SHORT,S,WOOD
39,E40,M,22.0,1893,HIGHWAY,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
40,E41,M,11.0,1894,HIGHWAY,1567.469135802469,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
41,E42,M,9.0,1895,HIGHWAY,2367.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
42,E44,O,48.0,1896,HIGHWAY,1567.469135802469,2.0,G,THROUGH,STEEL,LONG,F,SUSPEN
43,E43,M,7.0,1896,HIGHWAY,1040.0,2.0,G,THROUGH,STEEL,LONG,F,ARCH
44,E46,A,37.0,1897,RR,4000.0,2.0,G,DECK,STEEL,LONG,F,SIMPLE-T
45,E45,M,14.0,1897,RR,2264.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
46,E47,M,15.0,1898,RR,2000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
47,E58,A,33.0,1900,HIGHWAY,1200.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
48,E48,A,38.0,1900,HIGHWAY,2000.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
49,E94,M,13.0,1901,RR,1567.469135802469,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
50,E49,A,34.0,1902,HIGHWAY,1850.0,2.0,G,THROUGH,STEEL,MEDIUM,F,CANTILEV
51,E95,M,16.0,1903,RR,1300.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
52,E87,A,35.0,1903,RR,3000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
53,E51,M,6.0,1903,RR,1417.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
54,E50,M,21.0,1903,RR,1154.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
55,E89,M,4.0,1904,RR,1200.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
56,E53,A,28.0,1904,RR,965.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
57,E52,M,2.0,1904,RR,1504.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
59,E56,M,23.0,1909,HIGHWAY,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
60,E55,A,36.0,1909,HIGHWAY,1730.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
61,E57,O,49.0,1910,RR,1620.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
62,E59,O,43.0,1911,HIGHWAY,1652.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
64,E92,M,10.0,1914,RR,2210.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
65,E61,O,41.0,1915,RR,2822.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
66,E60,A,24.0,1915,HIGHWAY,1000.0,4.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
67,E62,A,37.0,1918,RR,2300.0,2.0,N,DECK,STEEL,LONG,F,CONT-T
68,E63,A,31.0,1920,RR,2122.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
69,E65,A,30.0,1921,WALK,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,F,SUSPEN
70,E64,A,29.0,1923,HIGHWAY,885.0,4.0,G,THROUGH,STEEL,MEDIUM,F,ARCH
71,E66,A,32.0,1924,HIGHWAY,2365.0,4.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
72,E70,A,27.0,1926,HIGHWAY,860.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
73,E69,A,26.0,1926,HIGHWAY,884.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
74,E101,O,46.0,1927,HIGHWAY,1770.0,2.0,G,THROUGH,STEEL,LONG,S-F,CANTILEV
75,E73,A,38.0,1927,HIGHWAY,1508.0,2.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
76,E72,M,5.0,1927,HIGHWAY,2663.0,4.0,N,DECK,STEEL,MEDIUM,S-F,CANTILEV
77,E67,M,1.0,1927,HIGHWAY,1330.0,4.0,G,THROUGH,STEEL,LONG,F,CANTILEV
78,E75,A,30.0,1928,HIGHWAY,2678.0,4.0,G,DECK,STEEL,MEDIUM,F,ARCH
79,E74,M,20.0,1928,HIGHWAY,2220.0,2.0,G,DECK,STEEL,MEDIUM,S-F,CANTILEV
80,E71,A,25.0,1928,HIGHWAY,860.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
81,E68,M,17.0,1928,HIGHWAY,2250.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
82,E78,O,40.0,1931,HIGHWAY,1365.0,4.0,G,THROUGH,STEEL,LONG,F,ARCH
83,E77,O,42.0,1931,HIGHWAY,1450.0,4.0,N,THROUGH,STEEL,LONG,F,ARCH
84,E76,M,6.0,1931,HIGHWAY,1500.0,4.0,G,THROUGH,STEEL,LONG,F,SUSPEN
85,E93,M,11.0,1937,HIGHWAY,1690.0,4.0,N,DECK,STEEL,LONG,S-F,CONT-T
86,E79,A,34.0,1939,HIGHWAY,1800.0,4.0,G,DECK,STEEL,MEDIUM,F,CANTILEV
87,E108,A,39.5,1945,HIGHWAY,1060.0,4.0,G,DECK,STEEL,MEDIUM,S-F,CONT-T
88,E107N,A,39.7,1945,RR,840.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
89,E105,A,38.5,1945,HIGHWAY,1710.0,2.0,N,DECK,STEEL,MEDIUM,S-F,CONT-T
90,E103,O,48.0,1945,HIGHWAY,2160.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
91,E97,Y,52.0,1945,HIGHWAY,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
92,E96,Y,51.0,1945,RR,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
93,E99,M,23.0,1950,HIGHWAY,1320.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
94,E98,M,22.0,1951,HIGHWAY,900.0,4.0,G,THROUGH,STEEL,MEDIUM,F,CONT-T
95,E81,M,14.0,1951,HIGHWAY,2423.0,4.0,G,DECK,STEEL,LONG,F,CONT-T
96,E80,M,19.0,1951,HIGHWAY,1031.0,4.0,G,THROUGH,STEEL,LONG,F,CANTILEV
97,E88,A,37.0,1955,HIGHWAY,2300.0,4.0,N,DECK,STEEL,LONG,F,CONT-T
98,E82,O,42.0,1955,HIGHWAY,804.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
99,E102,O,47.0,1959,HIGHWAY,1700.0,2.0,G,THROUGH,STEEL,LONG,F,CONT-T
100,E83,M,1.0,1959,HIGHWAY,1000.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
101,E86,A,33.0,1961,HIGHWAY,980.0,4.0,G,DECK,STEEL,MEDIUM,S-F,CONT-T
102,E85,M,9.0,1962,HIGHWAY,2213.0,4.0,G,DECK,STEEL,LONG,F,CONT-T
103,E84,A,24.0,1969,HIGHWAY,870.0,6.0,G,THROUGH,STEEL,MEDIUM,F,ARCH
104,E91,O,44.0,1975,HIGHWAY,3756.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
105,E90,M,7.0,1978,HIGHWAY,950.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
